2.840 	-0.818 	-3.847 	1.482 	1.433 	-1.078 	-0.577 	
2.880 	-0.760 	-3.790 	1.438 	1.410 	-1.113 	-0.658 	
2.920 	-0.703 	-3.734 	1.394 	1.383 	-1.147 	-0.739 	
2.960 	-0.648 	-3.680 	1.348 	1.354 	-1.181 	-0.820 	
3.000 	-0.595 	-3.626 	1.301 	1.321 	-1.215 	-0.901 	
3.040 	-0.544 	-3.574 	1.252 	1.285 	-1.250 	-0.982 	
3.080 	-0.495 	-3.523 	1.202 	1.246 	-1.284 	-1.063 	
3.120 	-0.448 	-3.474 	1.151 	1.203 	-1.318 	-1.144 	
3.160 	-0.403 	-3.427 	1.098 	1.157 	-1.352 	-1.225 	
3.200 	-0.360 	-3.382 	1.044 	1.108 	-1.387 	-1.306 	
3.240 	-0.320 	-3.339 	0.989 	1.056 	-1.421 	-1.387 	
3.280 	-0.281 	-3.298 	0.932 	1.001 	-1.455 	-1.468 	
3.320 	-0.245 	-3.259 	0.874 	0.942 	-1.489 	-1.549 	
3.360 	-0.211 	-3.222 	0.814 	0.880 	-1.524 	-1.630 	
3.400 	-0.180 	-3.188 	0.753 	0.815 	-1.558 	-1.711 	
3.440 	-0.151 	-3.157 	0.691 	0.746 	-1.592 	-1.792 	
3.480 	-0.125 	-3.129 	0.627 	0.674 	-1.626 	-1.873 	
3.520 	-0.101 	-3.103 	0.562 	0.600 	-1.661 	-1.954 	
3.560 	-0.080 	-3.081 	0.495 	0.521 	-1.695 	-2.035 	
3.600 	-0.061 	-3.062 	0.428 	0.440 	-1.729 	-2.000 	
3.640 	-0.046 	-3.046 	0.359 	0.360 	-1.763 	-1.800 	
3.680 	-0.033 	-3.033 	0.288 	0.288 	-1.600 	-1.600 	
3.720 	-0.022 	-3.022 	0.224 	0.224 	-1.400 	-1.400 	
3.760 	-0.015 	-3.015 	0.168 	0.168 	-1.200 	-1.200 	
3.800 	-0.009 	-3.009 	0.120 	0.120 	-1.000 	-1.000 	
3.840 	-0.005 	-3.005 	0.080 	0.080 	-0.800 	-0.800 	
3.880 	-0.002 	-3.002 	0.048 	0.048 	-0.600 	-0.600 	
3.920 	-0.001 	-3.001 	0.024 	0.024 	-0.400 	-0.400 	
3.960 	-0.000 	-3.000 	0.008 	0.008 	-0.200 	-0.200 	
4.000 	0.000 	-3.000 	0.000 	0.000 	0.000 	0.000 	
